Disease,Symptoms,Remedy
Bacterial leaf spot ,"Dark, angular lesions on leaves; leaf lesions may coalesce and cause severely blighted foliage; water-soaked lesions which enlarge and develop into tan scabs, or blisters, on the fruit; blisters eventually flatten as they reach their full size",Avoid overhead irrigation; rotate crops away from cucurbit species to prevent disease building up; use new seed each planting as saved seed is more likely to carry bacteria; apply appropriate protective fungicides; copper containing fungicides generally provide good control
Bacterial speck,"Tiny, raised, dark spots, usually with a white border.",Copper fungicide at first signs of symptoms. ​
Bacterial stalk rot,"The basal internodes develop soft rot and give a water soaked appearance. A mild sweet fermenting odour accompanies such rotting.
Leaves some time show signs of wilting or water loss and affected plants within a few days of infection lodge or topple down.
Ears and shank may also show rot. They fail to develop further and the ears hang down simply from the plant","Use of disease resistance varieties, i.e. Hybrids Ganga Safed-2, DHM 103, show significantly less disease incidence than other hybrids.
Avoid waterlogging and poor drainage."
Bacterial wilt,"The first symptoms are wilting of the youngest leaves, usually during the hottest part of the day. This can easily go unnoticed because the leaves stay green but eventually the entire plant wilts and dies. These dramatic symptoms occur when the weather is hot (over 85 degrees), the humidity is high and lots of rainfall has left the ground wet. It’s also more common in soil with a high PH.

You can diagnose bacterial wilt by cutting the stem at the base of the plant. Look for discolored tissue. Suspend the stem in a glass of water. If it is infected, a white, slimy substance will ooze into the water within just a few minutes.","Running water can spread the disease to other parts of the garden so rotate your crops regularly away from host plants which could include all of the nightshades (tomatoes, peppers and eggplants), flowers including sunflowers and cosmos and potatoes.Try raised beds to improve drainage and control root knot nematodes that weaken plants, leaving them more susceptible to disease.Space plants far enough apart to provide good air circulation.Have your soil tested and maintain a pH of 6.2-6.5, which is ideal for growing tomatoes and many other vegetables.Wash your hands after handling infected plants and sterilize any gardening tool that could have been used in infected soil."
Bean mosaic virus,Symptoms appear as a green to bluish-green mottled or mosaic pattern on leaves which usually exhibit a downward curling or cupping.,"Rotate the bean crop each year, especially if you have had any infection in the Aphid control is vital to control of bean mosaic virus. Check the underside of the leaves for aphids and, if found, treat immediately with an insecticidal soap or neem oil.


"
Black rust,"Symptoms are produced on almost all aerial parts of the wheat plant but are most common on stem, leaf sheaths and upper and lower leaf surfaces.
Pustules (containing masses of urediospores) are dark reddish brown - occur on both sides of the leaves, on the stems, and on the spikes.","Be sure to dispose of these leaves. Do not compost them. Then treat your plantwith a fungicide, such as neem oil. Continue to remove leaves and treat the plantuntil all signs of the plant rust are gone."
Blackleg,"Blackleg fungus commonly affects the stems and leaves.Stem damage can lead to cankering and severing of the plant at the base. The lesions are light brown with a purplish outline which often contain pinhead-sized, black dots. The lesions tend to be linear and irregularly distributed. Wet and windy conditions favour development of the disease.","You can use fungicides such as Thiram and Captan to treat vegetables infected by blackleg. If the infected crops do not respond to the treatment, uproot and burn or bury them in a dry soil."
Blister blight,"Small, pinhole-size spots on young leaves; spots become transparent, larger, and light brown; blisters on underside of leaves; dark green, water-soaked zones surrounding blisters; blisters may be white and velvety or brown; young stems bent and distorted, may break off or die",Plant tea varieties which are less susceptible to the disease; apply appropriate foliar or systemic fungicides to protect the plants
Blossom end root,"Dark brown/black spots develop at the blossom end of the fruit and enlarge as the fruit rots. Management: Generally attributed to a lack of calcium during fruit set. This could be caused by too much high nitrogen fertilizer or uneven watering, resulting in fluctuations of nutrient availability.","Remove affected fruit and provide regular, deep waterings."
Botrytis leaf blight,"The first symptoms of leaf blight are greyish-white, oval-shaped spots, about 1 to 3 mm in length that appear on the leaves. These spots are often surrounded by a distinctive silvery-white ""halo"" with uneven margins. The centres of many spots become sunken and straw-colored and when numerous, the leaf tips begin to dieback, eventually affecting the entire leaf"," remove cull piles and cull onions from field areas, rogue out volunteer onions and rotate crops."
Brown rust,"The most common site for symptoms is on upper leaf blades, however, sheaths, glumes and awns may occasionally become infected and exhibit symptoms","Be sure to dispose of these leaves. Do not compost them. Then treat your plantwith a fungicide, such as neem oil. Continue to remove leaves and treat the plantuntil all signs of the plant rust are gone."
Buckeye rot,"Buckeye Rot is similar to Blossom End Rot, except on green fruit. On ripened fruit, the rotting area will appear water-soaked, but not dark in color. The rot develops on the area of the fruit that touches the soil. The spot will enlarge and develop concentric rings that resemble a buckeye. The affected area is smooth, distinguishing it from Late Blight, which has a rough surface.",Remove affected fruit and keep future fruits from contact with the soil. 
Bud rot,chlorosis,Remove all affected buds immediately - Carefully remove and discard all buds that have possibly been affected by bud rot. Don't let any rot touch other parts of your plant. This helps prevent bud rot from spreading.
Bunchy top,"sudden browning,yellowing,spotting,withering or death of fruits,flowers,branches or the entire plant",Remove the crops affected by this virus at the earliest
Camellia flower blight,"Small, brown, irregular-shaped spots on the flower petals; whole flower turning brown; flowers dropping from plant",Remove all infected flowers from plants; remove all crop debris from around plants; soil drenches with appropriate fungicides can help to reduce the intensity of the disease
Canker,"wilting, discoloration of the leaf veins, and lesions on the fruit and stems of the plant.",You can use a hot water treatment and rotation of crops
Cigar end tip rot,"Cigar tip rot starts in the flower, moves to the tips of the fruit and turns them black and fibrous.",Removal of pistil and perianth by hand 8-10 days after bunch formation and spraying the bunch with Dithane M -45 (0.1%) or Topsin M (0.1%) controls the disease effectively.
Clubroot,"Above ground: Stunted growth, purplish foliage and wilting in hotweather, which may recover under wetter conditions. Below ground: The root system becomes massivelyswollen and distorted, with a loss of the finer roots.","Choose resistant cultivars when possible.
Try to prevent the occurrence of this disease by keeping a clean garden and rotating crops.Control susceptible weeds — mustard, radish, shepherd’s purse — that may be infected to reduce potential buildup of the disease."
Coffee berry,Dark sunken lesions on green berries; berries dropping from plant; mummified berries,Protective sprays of copper containing fungicides can help to control the disease; any diseased berries should be removed from plants; resistant varieties are available and should be planted in areas where disease is present
Collar rot,"The first symptoms of crown or collar rot may be poor growth, leaf yellowing or premature autumn colours.In the rootstock below ground the presence of typical orange/red-brown rot under the bark is characteristic of crown rot.A water-soaked, weeping area on the trunk which has a distinct orange/red-brown rot under the bark is  characteristic of collar rot.","trees showing foliar symptoms are usually too badly damaged to save.  These should be grubbed and burnt.The replanted tree and the trees in the rest of the orchard can be treated with the chemical fungicide Cuprokylt (copper oxychloride) or Fubol Gold WG (mancozeb + metalaxyl).Fubol Gold should be applied after harvest, but before green cluster stage.he lesion should be either cut out completely back to sapwood ensuring the cutting passes through the graft union or a groove cut down to the sapwood, surrounding the lesion."
Cucumber mosaic,Plants are severely stunted; foliage is covered in distinctive yellow mosaic; leaves of plant curl downwards and leaf size is smaller than normal; flowers on infected plants may be deformed with green petals; fruits become distorted and are small in size; fruit is often discolored,Control of the virus is largely dependant on the control of the aphid vectors; reflective mulches can deter aphid feeding; aphid outbreaks can be treated with mineral oils or insecticidal soap applications; some resistant varieties are available
Downy mildew,Angular brown lesions on upper side of leaves; purple to gray spores and gray mold on underside of leaves; brown leaves; dead leaves that remain attached,"Do not overcrowd plants; avoid overhead irrigation, water plants from base; apply appropriate fungicide"
Fruit rot,"Symptoms can range from superficial flecking to brown-black, dry, sunken lesions which may extend into fruit cavities.","The best treatment for anthracnose is to prevent its occurring in the first place. This can best be achieved by annual rotation of the planting location. Make sure that no non-solanaceous plants such as potatoes, soybeans or peppers were planted in the same soil in the previous year."
Grassy shoot,The antharacnose attack the foliage and twigs which start drying,"Use of healthy diseased free planting material collected from seed nursery for planting.

Roguing of affected stools and destruction – Mass eradication may help consistent reduction in inoculum in the area."
Gray wall ,The green fruits may have a gray cast or gray blotches. Ripe fruit will have green or brown areas on the inside of the fruit.,"Good growing conditions will prevent gray wall. Make sure plants aren't heavily shaded, are receiving even waterings and fertilizer and that the soil is not compacted around the roots. Cool temperatures and stressed or unhealthy plants also contribute to the problem."
Greasy spot fungus,The affected plant tissue usually turns brown to black in color,The best treatment around is to use one of the copper fungicides out there and spray the tree with it. Use the copper fungicide according to directions in order to kill the citrus tree fungus.
Gummy stem blight,V-shaped yellow to brown areas on stem; cracked dry areas on stem; lesions leaking a sappy material,Use disease free seed; treat seeds prior to planting; rotate crops every 2 years
Horse hair blight ,Black threadlike structures resembling horse hair attached to upper branches of plant by small brown discs; leaves drop rapidly from plant,Remove  and destroy all crop debris from around plants; pluck out infected or dead branches from the plant canopy
Late blight,"Blackish water soaked lesions occur on the leaves and whitish sporulation of the pathogen can be seen around the margin of the lesions, particularly on the underside of the leaf. On stems, late blight causes brown lesions that look greasy.","Use potato tubers for seed from disease-free areas to ensure that the pathogen is not carried through seed tuber.
The infected plant material in the field should be properly destroyed.
Grow resistant varieties like Kufri Navtal."
Leaf gall,"Symptoms consisted of gall formation along leaf blades and sheaths, dark green discoloration, twisted leaf tips and reduced numbers of tillers. Some plants died in the glasshouse in later stages of infection","spray with a miticide to prevent galls on ornamental plants. Horticultural oils and some insecticides will be effective but not after the mites are under the surface of the plant. Don’t use broad spectrum insecticides, which will harm potential predators of the gall mites."
Leaf Rot,"Smut galls ripen and rupture, releasing spores that travel through the air to infect new plants and overwinter in the soil, awaiting future crops","Apply sulfur sprays or copper-based fungicides weekly at first sign of disease to prevent its spread. These organic fungicides will not kill leaf spot, but prevent the spores from germinating. Safely treat most fungal and bacterial diseases with SERENADE Garden."
Onion smut,characteristic black streaks and blisters appear in the leaves and small bulbs later in the growing season as the fungus moves from the infected flag leaf to younger leaves ,Seed treatments can reduce losses to the disease and growing onions from transplants avoids the disease.
Phytophthora heart rot,"Powdery, white spots on the undersides of leaves; yellowing leaves",Rotate crops; plant only disease-free seed; apply appropriate fungicide if disease becomes a problem
Phytophthora root rot,"Powdery mildew, caused by the fungus Uncinulanecator, can infect all green tissues of the grapevine. Tissues are generally susceptible to infection throughout the growing season. Diseased leaves appear whitish gray, dusty, or have a powdery white appearance. Petioles, cluster stems, and green shoots often look distorted or stunted. Berries can be infected until their sugar content reaches about 8%. If infected when young, the epidermis of the berry can split and the berries dry up or rot.","Wash the pot thoroughly with a bleach solution. If possible, dip the remaining healthy roots in a fungicide solution to kill off any possible root rot fungus. After treating root rot in the plant, repot the plant in clean potting mix. ... You do not want to have to treat root rot again in the plant"
Pierce's disease," As the bacteria in the xylem grows, it blocks the water-conducting system. The first thing that may be noticeable is that leaves turn slightly yellow or red on the margins. After this, fruit shrivels and dies, then the leaves fall off the plant. New canes develop irregularly
",vines that have had symptoms for more than a year should be removed during the dormant season. Any vines that are showing foliar symptoms should also be removed. It is imperative that diseased vines be removed as soon as possible when symptoms are first apparent. This will help keep infection spread to a minimal.
Powdery mildew,"Powdery, white spots on the undersides of leaves; yellowing leaves",Plant in sites with good air circulation and sun exposure; do not overcrowd plants; sanitize equipment regularly
Purple blotch,"Small brown spots with purplish centres are characteristic of this disease. Under favorable conditions, the spots form into oval lesions that have a purplish tint with concentric rings. Older leaves tend to be more susceptible to the disease.",Rotate the crops regularly
Red rot,"Leaves suddenly turning yellow and wilting; branch tips dying; gray blotches on bark and stem which develop into sunken areas (cankers); cankers girdling the stem; parts of plant above cankers losing vigor, wilting and dying; symptoms more pronounced during hot, dry weather"," Cultivation of resistant varieties like Co 89003, Co 98014, Co 0118, Co 0238, Co 0239, Co 0124, etc will contain the disease.

The disease spread through infected setts. Therefore, always select seed canes from a disease free healthy crop. Any setts showing reddening at the cut ends or at the nodal region should be discarded."
Root rot," stunting, wilting and discolored leaves. Foliage and shoots die back and the entire plant soon dies. If you pull up a plant with root rot, you will see that the roots are brown and soft instead of firm and white.","disposing of the soil in the pot that the plant was in. Wash the pot thoroughly with a bleach solution. If possible, dip the remaining healthy roots in a fungicide solution to kill off any possible root rot fungus. After treating root rot in the plant, repot the plant in clean potting mix."
Scab ,"Angular brown lesions on leaves confined by small veins; pale green and water soaked lesions; holes in leaves from dried out lesions; lesions may also be present on petioles, stems and fruit",Rotate cucurbits with non-susceptible crops for a period of at least 2 years; plant only in well-draining soils; spray plants with appropriate protective fungicides
Septoria leaf spot,Initial symptoms of disease are small dark water-soaked spots on the leaves which turn beige to white in dry conditions; lesions develop thin brown borders and the centers may become brittle and crack; small white spots may erupt on the surface of infected butternut and acorn squash and pumpkin fruit,Scout plants during cool wet conditions for any sign of spots; early application of an appropriate protective fungicide can help limit the development of the disease if spots are found' cucurbits should be rotated with other crops every 2 years to prevent the build-up of inoculum; crop debris should be removed and destroyed after harvest
Sheath blight of Rice,"Initial symptoms of sheath blight are noticed on leaf sheaths near water level. On the leaf sheath oval or elliptical or irregular greenish grey spots are formed.

As the spots enlarge, the centre becomes greyish white with an irregular blackish brown or purple brown border.

Lesions on the upper parts of plants extend rapidly coalescing with each other to cover entire tillers from the water line to the flag leaf.","Avoid excess doses of fertilizers.
Eliminate weed hosts.
Avoid flow of irrigation water from infected fields to healthy fields.
Deep ploughing in summer and burning of stubbles."
Smut ,"Smut is a disease of pearl millet grain-bearing heads (inflorescences) that can significantly reduce grain yields, wherever the crop is grown. Infected florets develop as plump sacs or sori, initially green in colour and then turning dark brown or black as the sori mature. The sori are filled with black spores of the causal fungus, hence the name smut.",Smut is best managed by the use of resistant cultivars.
Sooty mold,"Immature, green sori larger than the seed develop on panicles during grain filling stage. A single sorus develops per floret. As grain matures, sori change in color from bright green to dark brown. Sori are filled with dark teliospores.",Neem oil is an effective treatment 
Southern blight,"Most frequently, this fungus infects lower stems near or at the soil surface, but it also may infect any part of a susceptible plant as long as favorable environmental conditions exist. The first symptom usually noticed by the homeowner or grower is wilt. Wilted plants often decline and die rapidly as a result of an extensive lower stem rot.",Remove and destroy diseased plants along with the surrounding soil and any garden debris or mulch that has come in contact with them. Don’t transplant any nearby plants to other parts of the garden.
Stem rot,"staining of infected area, reduced crop yield and crop failure.",Hot water treatement and rotation of crops regularly are auggested
Sugarcane mosaic,Dark sunken lesions on green berries; berries dropping from plant; mummified berries,There is no cure for this disease and once plants are infected they must be removed from the crop. 
Tanjore wilt,"Cream to pink mucilaginous droplets of ""honeydew"" ooze out of infected florets on pearl millet panicles and form sclerotia Within 10 to 15 days, the droplets dry and harden, and dark brown to black sclerotia develop in place of seeds on the panicle.","Regular basin irrigation during summer months.
Avoid flood irrigation to prevent the possible spread of the pathogen through soil.
Apply50 kg farmyard manure and 5 kg neem cake per palm per year."
Tobacco mosaic,"mosaic, mottling, necrosis, stunting, leaf curling, and yellowing of plant tissues.","Remove decaying leaves from the plant and the surrounding soil. Burn all parts of infected plants, never put them on the compost heap and do not dig them into the soil. Wash your hands thoroughly and disinfect all gardening implements after handling infected plants. Regularly inspect plants for signs of TMV infection."
Tobacco ring spot ,"stunting of the plant, chlorotic and necrotic spots on the leaves, and stem dieback, chlorotic mottling, line-pattern, mosaic, vein yellowing and leaf curling.",the use of cultivars resistant are immune to TRSV.
Verticillium wilt,Symptoms generally appear after fruit set; chlorotic leaves which develop necrotic areas; leaves collapsing; symptoms only on one side of vine; discoloration of vascular tissue in roots,Do not plant in areas where other susceptible crops have been grown previously; delay planting until temperatures are warmer
Watermelon mosaic ,"Symptoms vary widely depending on species, cultivar, virus strain and environmental conditions; symptoms on leaves may include green mosaic patternation, green vein-banding, chlorotic rings and disfigured leaves",Treatments that control populations of aphid vectors can also reduce the incidence of the virus; spraying plants with mineral oils or insecticidal soaps can help to reduce aphid numbers
White blister,"circular areas of light green to yellow discolouration appear on the upper leaf surface, corresponding to white blisters on the underside of the leaves. The blisters contain white powdery spores which are spread by wind when released. Spores can be released at any time of day.","Good hygiene practices should be used by growers and seedling production nurseries to help restrict movement of white blister. It is easily spread by wind-blown spores, which can make reducing infection difficult in a local area."
White rust,"White pustules on cotyledons, leaves, stems and/or flowers which coalesce to form large areas of infection; leaves may roll and thicken",Rotate crops; plant only disease-free seed; apply appropriate fungicide if disease becomes a problem
Yellow rust,"Mainly occur on leaves than the leaf sheaths and stem. Bright yellow pustules (Uredia) appear on leaves at early stage of crop and pustules are arranged in linear rows as stripes.
The stripes are yellow to orange yellow. The teliospores are also arranged in long stripes and are dull black in colour.
The pustules of stripe rust, which, contain yellow to orange-yellow urediospores, usually form narrow stripes on the leaves.","Be sure to dispose of these leaves. Do not compost them. Then treat your plant with a fungicide, such as neem oil. Continue to remove leaves and treat the plant until all signs of the plant rust are gone."
Fusarium wilt,"symptoms include leaf chlorosis, stunting, and leaf drop.","Test your soil and use a slow-release, organic fertilizer in the vegetable garden. Hand pull or spot treat weeds using a weed flamer or natural herbicide — many weed species host the disease pathogen. Mycostop is a biological fungicide that will safely protect crops against wilt caused by Fusarium."
Damping off,"Groups of seedlings may die in roughly circular patches, the seedlings sometimes having stem lesions at ground level. Stems of seedlings may also become thin and tough (""wire-stem"") resulting in reduced seedling vigor. Leaf spotting sometimes accompanies other symptoms, as does a grey mold growth on stems and leaves. Roots sometimes rot completely or back to just discolored stumps","Sowing seeds in a sterilized growing medium can be effective, although fungal spores may still be introduced to the medium, either on the seeds themselves or after sowing (in water or on the wind). To reduce survival of the pathogens, remove and discard diseased plants, and sterilize containers to remove dust, planting medium, and soil particles in which spores can survive. Maintaining drier conditions with better air circulation helps prevent the spread of the disease, although it can also prevent or slow down germination. Spraying or drenching the soil with a recommended anti-fungal treatment (such as copper oxychloride) also helps suppress the disease."
Bacterial leaf blight," Watersoaked lesions move from tip downwards on the edges of leaves. Gradually symptoms turn into yellow and straw coloured stripes with wavy margins. In early morning in humid areas yellowish, opaque, turbid drops of bacterial ooze may be seen","Remove collateral weed hosts from bunds and channels.
 Use only disease free seedlings.
 Avoid excess nitrogen."
Mint rust ,"Small, dusty, bright orange, yellow or brown pustules on undersides of leaves; new shoots may be pale and distorted; large areas of leaf tissue die and leaves may drop from plant","Infected plants and rhizomes should be removed to prevent spread; heat treatment of roots may help to control the disease; roots should be immersed in hot water at 44°C (111°F) for 10 minutes, cooled using cool water and then planted as usual"
Black rot,"Seedlings develop wilted yellow to brown leaves and collapse; yellow, V-shaped lesions on mature leaf margins; dark rings can be found in the cross section of the stem",Primary control methods based on good sanitation; plant disease-free seed; rotate crops every 2 years or less to non-brassica; avoid sprinkler irrigation
Bacterial heart rot,Water-soaked lesions on the white basal sections of leaves in the central whorl which may spread to all leaves in the central whorl; midportions of leaves become olive green in color with a bloated appearance; infected fruits exude juices and the shell becomes olive green; cavities form within the fruit,Remove and destroy infected fruits; avoid the use of infected crowns for seed material to prevent spread of the disease; planting to avoid flowering when adjacent field is fruiting can reduce disease development; use of miticides and control of ants can significantly reduce disease incidence
Fruit Rot,"As the rot progresses the lesion expands, causing a slimy rot, and bacteria may ooze through cracks in the epidermis. Black Mold Rot -Causal Agent:Alternaria alternata and Stemphyfium species. Symptoms can range from superficial flecking to brown-black, dry, sunken lesions which may extend into fruit cavities.",Spray Bavistin 1gm/litre of water one week before harvesting of fruit.
Ergot,Small dark lesions on leaves which are usually oval in shape but may be oblong to rectangular; centers of lesions are gray to tan in color with visible black dots; lesions may be covered in spores during wet weather; lesions may also be present on the stems and are slightly longer than those on the leaves.,Avoid planting millet varieties that are highly susceptible to Cercospora fungi; control weeds in field; rotate crops and practice good sanitation; no chemical control is needed to treat the disease.
Rust ,Small yellow or white raised spots on upper and lower leaf surfaces; spots tend to be more numerous on lower leaf surface; spots enlarge and develop into red-brown pustules which may be surrounded by a yellow halo.,Plant resistant varieties of millet if rust is a persistent problem; avoid the use of overhead irrigation; do now plant millet in close proximity to eggplant or other Solanaceous crops; there are no recommended chemical controls for rust.
Charcoal rot,The characteristic symptoms of the disease become apparent as the plants approach maturity. The disease generally appears early after flowering.A distinguishing character of the disease is the presence of the small black sclerotia in the pith of the affected stalks. Roots are also invaded and show black sclerotia in the disorganised tissue.,"Regular irrigations particularly during flowering time should be provided.
Use resistant varieties like DHM 103, Ganga Safed - 2 and avoid sowing of suceptable varieties like DHM 105.
Seed treatment with Carbendazim or Thiram 3g/kg seed is effective.
Field sanitation, crop rotation should be followed."
Stem bleeding,"Soft, yellow rot on trunk; affected areas are dark and turn black as they mature; a reddish-brown liquid may ooze from rotting regions and spill down trunk.",Avoid wounding palms with machinery and tools to reduce disease incidence; disease can be controlled with applications of the fungicide benomyl where registered; infected trees should be removed and destroyed as soon as possible.
Gray leaf blight ,"Small, yellow-brown spots on leaflets which develop gray centers and dark green borders; lesions coalesce to form large necrotic patches; tips of leaflets turning gray; canopy has blighted appearance.",Disease usually only merits control in coconut nurseries as infection of mature coconut palms are rare; appropriate broad spectrum protective fungicides should be applied.
,,
Rice blast,"On the leaves, the lesions start as small water soaked bluish green specks, soon enlarge and form characteristic boat shaped spots with grey centre and dark brown margin.The spots join together as the disease progresses and large areas of the leaves dry up and wither. Similar spots are also formed on the sheath.","Use of seeds from a disease free crop
 Grow resistant varieties like  MTU 1010, Swathi, IR 64, IR 36, Jaya, Vijaya, Ratna,
 Remove and destroy the weed hosts in the field bunds and channels.
 Split application of nitrogen and judicious application of nitrogenous fertilizers
 Treat the seeds with Captan or Thiram or Carbendazim or Carboxin or Tricyclazole  at 2 g/kg."
Brown Spot of Rice," Symptoms appear as lesions (spots) on the coleoptile, leaf blade, leaf sheath, and glumes, being most prominent on the leaf blade and glumes.

The disease appears first as minute brown dots, later becoming cylindrical or oval to circular. The several spots coalesce and the leaf dries up.","Use disease free seeds.
Field sanitation-removal of collateral hosts and infected debris in the field.
Crop rotation,
Adjustment of planting time"
grey mould,"Fuzzy, grey, mould growths on any part of the chilli plant including stems, leaves, buds, flowers or fruit. This can be in spots or across the whole plant.

 Look out for tiny black seed-like structures in the infected part of the chilli plant.

 Chilli pods can go soft and brown instead of ripening.

 In severe infections, buds and flowers and indeed the whole plant can quickly shrivel and die.","Remove dead and dying leaves, buds and flowers from your chillies immediately and do not leave dead plant material lying around.

 Grey Mould favours human conditions, so keep chilli greenhouses well ventilated and plants well spaced.

 Do not overwater chilli plants or leave water in greenhouses."
