Crop        ,Season                                            ,min_Rain,max_Rain,Season_num          ,Min_TempC,Max_TempC,IRRIGATIONMETHODS                                                                                                                                                                                                                                                                                       ,FertilizerAdv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,FertilizerKgpha                                                                                                                                                                                                                                                    ,Yield                                      ,min_Yield,max_Yield,Soil_pH                              ,min_pH,max_pH,Rainfall                          ,,,Flower_Initiation                                            ,Ist_picking                                                 ,Picking_start,Growth_regulator                                                                                                                                                                                                                                                                                          ,No.of_pickings:                  ,Date_of_pickings                       ,Gap,Count
Carrot      ,(jan-dec)                                         ,        ,        ,1-12                ,11       ,25       ,Water supply should be given once in 5 days.                                                                                                                                                                                                                                                            ,30  t/ha  FYM  and  90:90:90  kg/ha  NPK  are  applied  as  basal  dose  and  45:45:45  kg/ha NPK after 45 days of sowing. Apply 25 kg of ZnSO4/ha as basal.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"*M+G19H- @ 50 ppm, at 2 &4 leaf stage-Improves % of Female flowers & fruit quality. *TIBA @25-50 ppm at 2 & 4 leaf stage-improves flowering & fruit setting . *Bo@ 2-3 ppm at 2 & 4 leaf stage controls cracking. *Ethephon@250ppm seed soaking- M/F ratio lowest",                                           ,         ,         ,"deep,loose,loam soil"               ,6     ,6.8   ,                                  ,,,                                                             ,                                                            ,             ,"*Seed soaking inMn(0.02%) & B (0.01%) for 24 hrs gives better germination & thicker stand of larger roots *IBA@ 50 ppm seed soaking for 12 hrs improves root carotene ,Seed treatment with ZnSO4- increase yield"                                                                                        ,                                 ,                                       ,   ,
Beet root   ,(aug-dec)                                         ,        ,        ,"8,9,10,11,12"      ,6        ,19       ,"Beginning,your seeds need plenty of water to start the germination process.The roots will take moisture from the soil once they're established."                                                                                                                                                       ,Apply  FYM  at  20  t/ha  and  60:160:100  kg  of  NPK/ha  as  basal  and  60  kg  N/ha  after 30 day                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NPK-25:40:25                                                                                                                                                                                                                                                       ,35-40 T                                    ,35       ,40       ,"well drained,loamy or sandy soil"   ,5.8   ,7     ,                                  ,,,                                                             ,Maturity in 65-70 days                                      ,65           ,*Apply manganese sulphate when grown in alkaline soil.                                                                                                                                                                                                                                                    ,                                 ,                                       ,   ,
Onion       ,(jun-aug)                                         ,        ,        ,"6,7,8"             ,12.5     ,26       ,Irrigation is necessary at the time of transplanting/dibbling of cloves and light irrigation should be done on third day after planting and subsequent irrigation will be done at 7-10 days interval.                                                                                                   ,"Apply FYM 25 t/ha, Azospirillum 2 kg and Phosphobacteria 2 kg/ha, N 30 kg, P 60 kg and K 30 kg/ha as basal and 30 kg N/ha on 30th day of sowing. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NPK-100:50:100                                                                                                                                                                                                                                                     ,"Rabi-25-30 T, In Kh comparatively low"    ,25       ,30       ,5.8-6.5                              ,5.8   ,6.5   ,                                  ,,,                                                             ,Full maturity-110-120 days                                  ,110          ,"*Application of MH before harvest enhances the storage life * Application of Zinc at 2-3 ppm significantly increses the yield and enhances quality of bulbs by increasing TSS, sugars & ascorbic acid."                                                                                                  ,                                 ,                                       ,   ,
Cowpea      ,"(jun-july),(jan-feb)"                            ,        ,        ,"1,2,6,7"           ,19.5     ,36       ,Irrigation depends on type of season.Rainy season does not require irrigation.                                                                                                                                                                                                                          ,"Apply FYM 25 t/ha, Azospirillum and Phosphobacteria 2 kg /ha and N 25 kg and P 50 kg/ha for irrigated crop. Apply FYM at 12.5 t/ha and N 12.5 and P 25 kg/ha for rainfed crop. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NPK-25:50:50                                                                                                                                                                                                                                                       ,8 T                                        ,8        ,8        ,5.5-6.5                              ,5.5   ,6.5   ,                                  ,,,36-38 DAS                                                    ,45 DAS                                                      ,45           ,*MH (50-200 ppm)-before flowering- increase pod yield. *NAA @ 10 ppm at flowering and a week later -improves pod filling and fruit setting                                                                                                                                                                ,                                 ,                                       ,   ,
Cluster bean,"(June-July),(Jan-Feb)"                           ,        ,        ,"1,2,6,7"           ,30       ,38.5     ,Use drip irrigation.Irrigation is required immediately after sowing the seeds and subsequent irrigations should be carried out at 7-10 days intervals.                                                                                                                                                  ,"Apply FYM 25 t/ha, Azospirillum and Phosphobacteria each 2 kg/ha, N 25, P 50 and K 25 kg/ha as basal. 25 kg N/ha is applied as top dressing on 30 days after sowing. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NPK-25:50:50                                                                                                                                                                                                                                                       ,6 T                                        ,6        ,6        ,7.5-8.0                              ,7.5   ,8     ,                                  ,,,28-30 DAS                                                    ,40 DAS                                                      ,40           ,"*Spraying Sodium Molybdate -at 15 & 30 DAS (0.15%)gives better yield. *Cycocel-500 ppm, 25 DAS improves yield"                                                                                                                                                                                           ,                                 ,                                       ,   ,
Spinach     ,(jan-dec)                                         ,        ,        ,1-12                ,10       ,26       ,Winter spinach crop needs irrigation 10-15 days interval and January-planted spinach crop needs irrigation at 6 to 7 days interval in summer months.                                                                                                                                                    ,Side-dressing with a nitrogen fertilizer will work and so will foliar applications of fertilizer like Dyna-Gro.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"Being leafy veg. require more N for crown(leaves0 growth,100 Kg N/ha with 2 foliar application(2-3 Kg N/ha) gives best results"                                                                                                                                   ,10 T                                       ,10       ,10       ,7-10.5                               ,7     ,10.5  ,                                  ,,,                                                             ,"3-4 weeks DAS, subsequent cuttings at 15-20 days interval.",21           ,"*BA@ 10 ppm, seed soaking / 5minutes- for more veg.growth, freshness & to delay bolting"                                                                                                                                                                                                                 ,                                 ,                                       ,   ,
Coriander   ,(july-jan)                                        ,        ,        ,"6,7,8,9,10,11,12,1",20       ,30       ,"1st irrigation should be given immediately after sowing and the second on the third day and subsequent irrigations at 6 to 10 days interval.In rainy season,crop hardly requires any irrigation."                                                                                                      ,"fertilize your coriander with a fertilizer with an NPK of, for example 5-1-1 or 10-0-0, that would be a good choice."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NPK-50:0:0                                                                                                                                                                                                                                                         ,10-12 T                                    ,10       ,12       ,                                     ,6     ,8     ,                                  ,,,                                                             ,45 days                                                     ,45           ,"*BA@ 10 ppm, seed soaking / 5 minutes- for more veg. growth, freshness & to delay bolting"                                                                                                                                                                                                               ,                                 ,                                       ,   ,
Watermelon  ,(dec-feb)                                         ,        ,        ,"1,2,12"            ,32       ,41       ,"While melon plants are growing,blooming and setting fruit,they need 1 to 2 inches of water per week.Try to avoid wetting the leaves and avoid overhead watering.Reduce watering once fruit are growing.Dry weather produces the sweetest melon."                                                       ,"Apply FYM 20 t/ha, P 55 kg and K 55 kg as basal and N 55 kg/ha 30 days after sowing."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NPK-200:100:100                                                                                                                                                                                                                                                    ,100-110 T                                  ,100      ,110      ,medium salt concentration is required,5.8   ,7     ,                                  ,,,                                                             ,80-90 days                                                  ,80           ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Rice        ,Jan-Dec                                           ,150     ,300     ,1-12                ,16       ,27       ,"During initial period,paddy field requires abundant water supply especially in wet lands.Water supply should be reduced periodically before harvesting the crop."                                                                                                                                      ,"Blanket recommendation : 75:25:37.5 kg N:P2O5:K2O /ha.
Apply a basal dose of 750 kg of FYM enriched with fertilizer phosphorus (P at 25 kg/ha) Apply N & K in three splits at 20-25, 40-45 and 60-65 days after germination.
Each split may follow 25kg N and 12.5 kg K2O."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NPK 149:62:56                                                                                                                                                                                                                                                      ,4T                                         ,4        ,4        ,5.5-7.0                              ,5.5   ,7     ,150-300 cm                        ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Wheat       ,Oct-May                                           ,75      ,100     ,"1,2,3,4,5,10,11,12",14       ,19       ,1st irrigation should be given at 3-4weeks after sowing.2nd irrigation should be at 40-45day after sowing.3rd irrigation at 60-65day after sowing.4th irrigation at 80-85day after sowing.5th irrigation at 100-105day after sowing.6th irrigation at 105-120day after sowing.                          ,"Apply NPK fertilizer as per soil test recommendation as far as possible. If soil test recommendation is not available, adopt a blanket recommendation of 80:40:40 NPK kg/ha.
Apply half of N and full dose of P2O and K2O5 basally before sowing and incorporate in the sowing line"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NPK 12:30:30                                                                                                                                                                                                                                                       ,8T                                         ,8        ,8        ,6.0-7.0                              ,6     ,7     ,75-100 cm                         ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Sugarcane   ,Jan-Dec                                           ,75      ,150     ,1-12                ,25       ,29       ,Once in 7days during germination-sprouting(1-35days after planting).Once in 10days during formative stage-tillering(36-100days after planting).Once in 7days during growth period(101-270days after planting).Once in 15days during maturity stage(after 271days after planting and upto harvest phase).," FN = 4.17 T – 1.09 SN – 1.11 ON
    FP2O5 = 1.01 T – 2.56 SP – 1.01 OP
    FK2O = 3.44 T – 0.84 SK – 1.03 OK"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NPK-300:100:200                                                                                                                                                                                                                                                    ,60T-70T                                    ,60       ,70       ,5.0-8.5                              ,5     ,8.5   ,75-150 cm                         ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Coconut     ,Jan-Dec                                           ,        ,        ,1-12                ,27       ,27       ,Watering should be done immediately after planting in the pit.Irrigation should be given at every 5-6days interval during the 1st month and later at 8 to 9days interval.No irrigation during rainy season.                                                                                             ,"Apply FYM 25 t/ha, Azospirillum and Phosphobacteria each 2 kg/ha, N 25, P 50 and K 25 kg/ha as basal. 25 kg N/ha is applied as top dressing on 30 days after sowing. Bio-fertilizer recommendation50 g of Azospirillum50 g of Phosphobacteria ( or ) 100 g Azophos50 g of VAMMix all the contents in sufficient quantity of compost or FYM and apply nearfeeding roots once in 6 months / palm starting from planting. Don’t mix withchemical fertilizers and pesticides"                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,5.0-8.0                              ,5     ,8     ,                                  ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Rubber      ,Jan-Dec                                           ,180     ,220     ,1-12                ,21       ,35       ,Can be irrigated at 2-3 days interval.                                                                                                                                                                                                                                                                  ,Apply 12 kg of compost or FYM and 120 g of rock phosphate in each pit before planting. Apply 10:10:4:1.5 NPK and Mg                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,                                     ,6.5   ,8     ,200cm                             ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Coffee      ,Jan-Dec                                           ,150     ,200     ,1-12                ,15       ,30       ,Use any irrigation methods.Provide 2 irrigations in a week in dry hot climates and 1 irrigation a week in cool winter.Over-irrigation results in fungal diseases.                                                                                                                                       ,Ammonium phosphate (20:20) 35 parts by Wt Potassium sulphate 15 parts by Wt (or) MOP 12 parts by Wt Magnesium sulphate 15 parts by Wt Zinc sulphate 3 parts by Wt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,                                     ,5.8   ,7     ,150-200cm                         ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Tea         ,Jan-Dec                                           ,150     ,250     ,1-12                ,21       ,29       ,Use sprinkler irrigation.                                                                                                                                                                                                                                                                               ,Ammonium phosphate (20:20) 35 parts by Wt Potassium sulphate 15 parts by Wt (or) MOP 12 parts by Wt Magnesium sulphate 15 parts by Wt Zinc sulphate 3 parts by Wt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,                                     ,5.5   ,7     ,150-250                           ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Banana      ,Jan-Dec                                           ,80      ,120     ,1-12                ,25       ,30       ,Banana is a water loving plant and requires a large quantity of water for maximum productivity.These plants require a minimum of 2000mm to 2500mm annually or 25mm per week.                                                                                                                            ,"General recommendations for garden land, wetland banana and hill bananas. Details N (g) P (g)K (g) Garden land Varieties other than Nendran Nendran 110*150 35*90 330*300 Wetland Nendran Rasthali Poovan, Robusta 210 210 160 35 50 50 450 390 390 * For Tissue culture banana, apply 50% extra fertilizers at 2nd, 4th, 6th and 8thmonth after planting. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,6.0-7.5                              ,6     ,7.5   ,100cm                             ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Maize       ,Jan-Dec                                           ,80      ,110     ,1-12                ,18       ,27       ,"As soon as sowing is done,immediate irrigation is required in the field.Usually for maize crop,upto 25 to 30days,less number of irrigation are recommended,afterwards,it is required to irrigate once in a week."                                                                                      ,"Apply NPK fertilizers as per soil test recommendation as far as possible. If soil test recommendation is not available adopt a blanket recommendation of 135:62.5:50 NPK kg/ha, ZnSO4 at 37.5 kg/ha.
Apply quarter of the dose of N; full dose of P2O and K2O basally before sowing."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,high Nitrogen Soil                   ,5.8   ,6.5   ,80-110cm                          ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Jute        ,Jan-Dec                                           ,150     ,200     ,1-12                ,25       ,25       ,"Requires good water resource.As soon as sowing is completed,carry out the first irrigation.Life irrigation should be given on 5th day after sowing.Subsequent irrigations should be given with 2 weeks interval."                                                                                      ,"20 kg per ha each of N, P2O5 and K2O are to be applied basally."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,"alluvial,loamy Soil"                ,6     ,7.5   ,150-200cm                         ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Cotton      ,Jan-Dec                                           ,60      ,110     ,1-12                ,24       ,24       ,Use drip irrigation                                                                                                                                                                                                                                                                                     ,Seed treatment with 3 packets of Azospirillum (600 g/ha) and 3 packets (600 g/ha) of Phosphobacteria or 6 packets of Azophos(1200 g/ha).  In addition apply 10 packets of Azospirillum (2000 g/ha) and 10 packets (2000 g/ha) of Phosphobacteria or 20 packets of Azophos (4000 g/ha) mixed with 25 kg FYM and 25 kg of soil on the seed line. This saves 25% nitrogen besides increasing yield.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,loamy Soil                           ,6     ,6.5   ,60-100cm                          ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Bajra       ,Jan-Dec                                           ,30      ,60      ,1-12                ,25       ,30       ,Plan irrigations to provide adequate soil moisture during these high water requirement periods.                                                                                                                                                                                                         ," Apply NPK fertilizers as per soil test recommendations as far as possible. If soil test recommendation is not available follow the blanket recommendation of 70:35:35 kg N, P2O5, K2O/ ha for all varieties. For hybrids, apply 80 kg N, 40 kg P2O5 and 40 kg K2O per ha. Apply the recommended N in three splits as 25:50:25 per cent at 0,15 and 30 DAS and full dose of phosphorus and potassium basally.  Combined application of azospirillum and phosphobacteria or azophos along with 75 per cent of the recommended level of N and P is recommended for rainfed conditions."                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,Sandy Soil                           ,4     ,5     ,45cm                              ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Jowar       ,Jan-Dec                                           ,30      ,100     ,1-12                ,20       ,32       ,"If the crop is sown in monsoon time,it may require 1-3 irrigations.For summer crops,6-7 irrigations may be carried out due to high temperature."                                                                                                                                                       ,"Apply NPK fertilizers as per soil test recommendations. If soil test recommendations are not available, adopt a blanket recommendation of 90 N, 45 P2O5, 45 K2O kg/ha.
Apply N @ 50:25:25 % at 0, 15 and 30 DAS and full dose of P2O5 and K2O basally before planting
In the case of ridge planted crop, open a furrow 5 cm deep on the side of the ridge at two thirds the distance from the top of the ridge and place the fertilizer mixture along the furrow and cover with soil upto 2 cm.
Soil application of Azospirillum at 10 packets (2 kg/ha) and 10 packets (2000g/ha) of phosphobacteria or 20 packets of Azophos (4000g/ha) after mixing with 25 kg of FYM + 25 kg of soil may be carried out before sowing/planting."                                                                                                                                                                    ,                                                                                                                                                                                                                                                                   ,                                           ,         ,         ,Well drained light soil              ,6     ,7.5   ,30-100cm                          ,,,                                                             ,                                                            ,             ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
