Crop,Season,Season_num,Min_TempC,Max_TempC,FertilizerKgpha,Yield,min_Yield,max_Yield,Soil_pH,min_pH,max_pH,Rainfall,min_Rain,max_Rain,Flower_Initiation,Ist_picking,Picking_start,Growth_regulator,No.of_pickings:,Date_of_pickings,Gap,Count,pest
Coffee,Jan-Dec,1-12,15,30,,,,,,,,150-200cm,1500,2000,,,,,,,,,"Coffee berry borer, White stem borer, Shot hole borer, Mealy bugs, Green scale"
Tea,Jan-Dec,1-12,21,29,,,,,,,,150-250,1500,2500,,,,,,,,,"Nematodes, Insects, Stem borers, Mites, Tea Thrips, Tea mosquito bug"
Banana,Jan-Dec,1-12,25,30,,,,,6.0-7.5,6,7.5,100cm,800,1200,,,,,,,,,"Banana pseudostem weevil, Banana rhizome weevil, Aphid, Spindle leaf miner, Nematodes"
Maize,Jan-Dec,1-12,18,27,,,,,high Nitrogen Soil,,,80-110cm,800,1100,,,,,,,,,"Stem fly, Stem borer, Pink stem borer,  Corn worm,  Ear head bug,  Web worm,  Ash weevil,  Leafhopper, Aphid, Shoot bug"
Jute,Jan-Dec,1-12,25,25,,,,,"alluvial,loamy Soil",,,150-200cm,1500,2000,,,,,,,,,"Stem girdling beetle Nupserha bicolor postbrunnea, Jute weevil Apion corchori Mshll, Spodoptera exigua"
Cotton,Jan-Dec,1-12,24,24,,,,,loamy Soil,,,60-100cm,600,1000,,,,,,,,,"jassids, aphids, thrips, white fly, bollworm"
Bajra,Jan-Dec,1-12,25,30,,,,,Sandy Soil,,,45cm,300,600,,,,,,,,,"Indian meal moth, Angoumois grain moth, Larger grain borer, Red flour beetle"
Jowar,Jan-Dec,1-12,20,32,,,,,Well drained light soil,,,30-100cm,300,1000,,,,,,,,,"Jowar Shoot Fly, Jowar Stem Borer, "
Citrus,,,16,20,,,,,5.5-7.5,5.5,7.5,50-250,500,2500,,,,,,,,,"Citrus Psylla, Bark Borer, Citrus Leaf Miner, Citrus White Fly/ Citrus Black Fly, Aphids, Citrus or Lemon Butterfly, Fruit Sucking Moths, Citrus Mite, Scale Insects, Fruit Flies, Citrus Nematode, "
Grapes,,,15,40,,,,,4.0-9.5,4,9.5,<90,500,900,,,,,,,,,"Flea Beetles, Thrips, Scale Insects, Leaf Hopper, Mealy Bugs, Grape Leaf Roller, Stem- Borer, Tobacco Caterpillar, Stem Girdler, Reniform Nematode, Root-knot Nematode"
Guava,,,,,,,,,5.5-7.5,5.5,7.5,100,850,1150,,,,,,,,,"Fruit Fly, Mealy Bug, Kajji Bug"
Litchi,,,21,38,,,,,5.5-7,5.5,7,,,,,,,,,,,,"Eriophyid Mite, Bark eating caterpillar"
Mango,,,24,30,,,,,5.5-7.5,5.5,7.5,89-100,800,1090,,,,,,,,,"hoppers, stem borers, shoot midges, leaf feeding insects, fruit flies and psyllids"
Papaya,,,25,30,,,,,6.5-7.0,6.5,7,high rainfall area is not suitable,,,,,,,,,,,"Papaya Spider Mite, Fruit Fly , Nematodes"
Pineapple,,,15,32,,,,,5.0-6.0,5,6,76-100,760,1000,,,,,,,,,"Mealy bugs, Scale insects"
Pomegranate,,,25,35,,,,,7.5,7.5,7.5,50-80,500,800,,,,,,,,,"Pomegranate Butterfly, Bark-eating Caterpillar, Whitefly, Aphids, Mealy Bugs, Scale Insects, Fruit Fly"
Sapota,,,10,38,,,,,6.0-8.0,6,8,125-250,1250,2500,,,,,,,,,"Chiku Bud Borer, Chiku Moth, Leaf Miner, Fruit Fly, Mealy bugs"
Apple,,,21,24,,,,,5.5-6.5,5.5,6.5,,,,,,,,,,,,"Codling Moth, Apple Clearwing Moth, Woolly Apple Aphid, Blossom Thrips, Red Spider Mites, San Jose Scale, Root Borer"
Turnip,,,18,23,,,,,5.5-7.0,5.5,7,,,,,,,,,,,,"Aphids, Mustard Sawfly"
Mint,,,41,,,,,,6.5-8.0,6.5,8,,,,,,,,,,,,"Mint Leaf Roller, Red Pumpkin Beetle, Cutworms, Hairy Caterpillar"
Jasmine,,,,,,,,,6.5-7.5,6.5,7.5,80-100,800,1000,,,,,,,,,"Bud Worm, The Gallery Worm, Mites, Root-Knot Nematode"
Mari Gold,,,18,20,,,,,7.0-7.5,7,7.5,,,,,,,,,,,,"Aphids, Beetles and Weevils, Leaf Hoppers, Red Spider Mites,"
Tuberose,,,20,30,,,,,6.5-7.5,6.5,7.5,,,,,,,,,,,,"BudBorer, Aphids, Grasshoppers, Red Spider Mites, Rodents, Thrips, Weevils"
Raddish,,,,,,,,,,,,,,,,,,,,,,,"Aphids, Mustard Sawfly"
