Crop        ,Season                                            ,Season_num          ,Climate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Min_TempC,Max_TempC,FertilizerKgPha                                                                                                                                                                                                                                                    ,Flower_Initiation                                            ,Ist_picking                                                 ,Picking_start_days,Growth_regulator                                                                                                                                                                                                                                                                                          ,Yield                                      ,No.of_pickings:                  ,Date_of_pickings                       ,Gap,Count
Carrot      ,(jan-dec)                                         ,1-12                ,"Like radish Optimum temeperature range is 20-25deg C. Seed stalk formation results when subjected to temperature of 12.2-21.1 0 C.Plants grown continuosly at temp. range of 21.1-26.7 0 C fail to develop flower primordia. It is for this reason the seeds of European types of carrot are produced only in the hills of India ,where the winter is severe."                                                                                                                                                                                                                                                                                                                                                                                                               ,11       ,25       ,"*M+G19H- @ 50 ppm, at 2 &4 leaf stage-Improves % of Female flowers & fruit quality. *TIBA @25-50 ppm at 2 & 4 leaf stage-improves flowering & fruit setting . *Bo@ 2-3 ppm at 2 & 4 leaf stage controls cracking. *Ethephon@250ppm seed soaking- M/F ratio lowest",                                                             ,                                                            ,                  ,"*Seed soaking inMn(0.02%) & B (0.01%) for 24 hrs gives better germination & thicker stand of larger roots *IBA@ 50 ppm seed soaking for 12 hrs improves root carotene ,Seed treatment with ZnSO4- increase yield"                                                                                        ,                                           ,                                 ,                                       ,   ,
Beet root   ,(aug-dec)                                         ,"8,9,10,11,12"      ,"It grows well in warm weather,but it attains best colour, texture & quality in a cool weather.Excessivelt hot weather causes -zoning- the appearance of alternating light & dark red concentric circles in the root.They sensitive to low temperature(4.5-10 0 C), if exposed to such temp. for 15 days , bolting likely to occur before the roots reach marketable size..Requires abundant sunshine for development of storage roots."                                                                                                                                                                                                                                                                                                                                      ,6        ,19       ,NPK-25:40:25                                                                                                                                                                                                                                                       ,                                                             ,Maturity in 65-70 days                                      ,65                ,*Apply manganese sulphate when grown in alkaline soil.                                                                                                                                                                                                                                                    ,35-40 T                                    ,                                 ,                                       ,   ,
Onion       ,(jun-aug)                                         ,"6,7,8"             ,Grown in mild cilmate without extremes of low & high temp.The plants at early stage can withstand low temp. Requires 20-25 0 C for germination.For vegetative growth-low temp. & short photoperiod (13- 21 0 C) For bulb development- relatively high temp & long photoperiod(15.6-25.1 0 C)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,12.5     ,26       ,NPK-100:50:100                                                                                                                                                                                                                                                     ,                                                             ,Full maturity-110-120 days                                  ,110               ,"*Application of MH before harvest enhances the storage life * Application of Zinc at 2-3 ppm significantly increses the yield and enhances quality of bulbs by increasing TSS, sugars & ascorbic acid."                                                                                                  ,"Rabi-25-30 T, In Kh comparatively low"    ,                                 ,                                       ,   ,
Cowpea      ,"(jun-july),(jan-feb)"                            ,"1,2,6,7"           ,"Warm seson crop, thrives best between 21-35 0 C.It cannot withstand heavy rainfall & waterloggging.Diff cvs respond differently to temp. and day length & thus there are distinct cvs for spring-summer & rainy seasons."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,19.5     ,36       ,NPK-25:50:50                                                                                                                                                                                                                                                       ,36-38 DAS                                                    ,45 DAS                                                      ,45                ,*MH (50-200 ppm)-before flowering- increase pod yield. *NAA @ 10 ppm at flowering and a week later -improves pod filling and fruit setting                                                                                                                                                                ,8 T                                        ,                                 ,                                       ,   ,
Cluster bean,"(June-July),(Jan-Feb)"                           ,"1,2,6,7"           ,Tropical crop preferring warm climate.The extent to which the crop can stand the heat can be substantiated by the fact that it is grown during summer in arid zones of Rajasthan and Haryana.It prefers long day condition for growth and short day for for induction of flowering. Kharif crop yields better because irrigation has been found to enhance bud production                                                                                                                                                                                                                                                                                                                                                                                                     ,30       ,38.5     ,NPK-25:50:50                                                                                                                                                                                                                                                       ,28-30 DAS                                                    ,40 DAS                                                      ,40                ,"*Spraying Sodium Molybdate -at 15 & 30 DAS (0.15%)gives better yield. *Cycocel-500 ppm, 25 DAS improves yield"                                                                                                                                                                                           ,6 T                                        ,                                 ,                                       ,   ,
Spicnach    ,(jan-dec)                                         ,1-12                ,"Cultivated throughout the year in the region where mild climate prevails., withstands frost & tolerate warm weather,but high temp. leads to early bolting without giving sufficient cuttings & leaves pass edible stage quickly."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,26       ,         ,"Being leafy veg. require more N for crown(leaves0 growth,100 Kg N/ha with 2 foliar application(2-3 Kg N/ha) gives best results"                                                                                                                                   ,                                                             ,"3-4 weeks DAS, subsequent cuttings at 15-20 days interval.",21                ,"*BA@ 10 ppm, seed soaking / 5minutes- for more veg.growth, freshness & to delay bolting"                                                                                                                                                                                                                 ,10 T                                       ,                                 ,                                       ,   ,
Coriander   ,(july-jan)                                        ,"6,7,8,9,10,11,12,1",Mild climate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,19       ,         ,NPK-50:0:0                                                                                                                                                                                                                                                         ,                                                             ,45 days                                                     ,45                ,"*BA@ 10 ppm, seed soaking / 5 minutes- for more veg. growth, freshness & to delay bolting"                                                                                                                                                                                                               ,10-12 T                                    ,                                 ,                                       ,   ,
Watermelon  ,(dec-feb)                                         ,"1,2,12"            ,"Melons require tropical climate with fairly high temperature of 35-40 degC during fruit dev.susceptible to to dew & cold. For sweetness & flavour-cool nights, warm days with low humidity is ideal for accumulation of sugar"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,32       ,41       ,NPK-200:100:100                                                                                                                                                                                                                                                    ,                                                             ,80-90 days                                                  ,80                ,"*M+G19H- @ 50 ppm, at 2 &4 leaf stage-Improves % of Female flowers & fruit quality. *TIBA @25-50 ppm at 2 & 4 leaf stage-improves flowering & fruit setting . *Bo@ 2-3 ppm at 2 & 4 leaf stage controls cracking. *Ethephon@250ppm seed soaking- M/F ratio lowest"                                       ,100-110 T                                  ,                                 ,                                       ,   ,
Rice        ,Jan-Dec                                           ,1-12                ,16degC - 27degC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16       ,27       ,NPK 149:62:56                                                                                                                                                                                                                                                      ,                                                             ,                                                            ,                  ,                                                                                                                                                                                                                                                                                                          ,4T                                         ,                                 ,                                       ,   ,
Wheat       ,Oct-May                                           ,"1,2,3,4,5,10,11,12",14degC-18degC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,14       ,19       ,NPK 12:30:30                                                                                                                                                                                                                                                       ,                                                             ,                                                            ,                  ,                                                                                                                                                                                                                                                                                                          ,8T                                         ,                                 ,                                       ,   ,
Sugarcane   ,Jan-Dec                                           ,1-12                ,27degC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,25       ,29       ,NPK-300:100:200                                                                                                                                                                                                                                                    ,                                                             ,                                                            ,                  ,                                                                                                                                                                                                                                                                                                          ,60T-70T                                    ,                                 ,                                       ,   ,
